text,label
Just had the best espresso ever!! ☕️✨ #blessed,joy
Finally got that promotion! Hard work pays off! 🎉🥂,joy
Omg thank you so much for the gift! You're a star! 🌟💖,joy
Best. Day. Ever. period. ❤️🌈 #happy,joy
"Sunshine and coffee, what else do I need? ☀️☕️",joy
Great weather for a walk! 🌳👟,joy
I've been waiting for 40 mins... where is my order?! 😡💢,anger
STOP TAGGING ME IN THESE USELESS POSTS!!! 🤬,anger
Why is the internet so slow today?! I hate this! 🖕,anger
Who do you think you are talking to me like that?! 👊,anger
My favorite mug just broke... I'm devastated 💔😭,sadness
"Feeling so lonely tonight, wish things were different. 😔",sadness
"The lightning is so loud, I'm hiding under my bed ⛈️😱",fear
I don't like how that stranger is looking at me... 😟,fear
